STATE,NAME,PARTY
WA,Washington,Democrat
OR,Oregon,Democrat
CA,California,Democrat
ID,Idaho,Republican
NV,Nevada,Democrat
UT,Utah,Republican
AZ,Arizona,Republican
AK,Alaska,Republican
HI,Hawaii,Democrat
MT,Montana,Republican
WY,Wyoming,Republican
CO,Colorado,Democrat
NM,New Mexico,Democrat
ND,North Dakota,Republican
SD,South Dakota,Republican
NE,Nebraska,Republican
KS,Kansas,Republican
OK,Oklahoma,Republican
TX,Texas,Republican
MN,Minnesota,Democrat
IA,Iowa,Democrat
MO,Missouri,Republican
AR,Arkansas,Republican
LA,Louisiana,Republican
WI,Wisconsin,Democrat
IL,Illinois,Democrat
MI,Michigan,Democrat
IN,Indiana,Democrat
KY,Kentucky,Republican
TN,Tennessee,Republican
MS,Mississippi,Republican
AL,Alabama,Republican
GA,Georgia,Republican
SC,South Carolina,Republican
FL,Florida,Democrat
ME,Maine,Democrat
NY,New York,Democrat
PA,Pennsylvania,Democrat
VA,Virginia,Democrat
NC,North Carolina,Democrat
VT,Vermont,Democrat
NH,New Hampshire,Democrat
MA,Massachusetts,Democrat
CT,Connecticut,Democrat
RI,Rhode Island,Democrat
NJ,New Jersey,Democrat
DE,Delaware,Democrat
MD,Maryland,Democrat
DC,District of Columbia,Democrat
OH,Ohio,Democrat
West Virginia,West Virginia,Republican
